id;category;class;value
1;Медицина;Лекарственные препараты;89
2;Медицина;Дезинфекция;41
3;Автомобильные дороги;Ремонт дорог;469
4;Автомобильные дороги;Дорожные работы;230
5;Автомобильные дороги;Ямы;364
6;Автомобильные дороги;Уборка снега;239
7;Благоустройство;Детские площадки;17
8;Дворы и территории общего пользования;Канализационные люки;16
9;Дворы и территории общего пользования;Брошенный автомобиль;22
10;Мусор;Уборка мусора во дворах;537
11;Мусор;Контейнерные площадки;397
12;Мусор;Свалки мусора в лесу;132
13;Образование;Защита прав детей;10
14;Образование;Заработная плата и социальные выплаты в образовательных организациях;16
15;Образование;Выплаты обучающимся в образовательных организациях;5
16;Образование;Вопросы функционирования образовательных организаций;14
17;Образование;Питание в образовательных организациях;3
18;Общественный транспорт;Предложения по изменению маршрута или графика транспорта;49
19;Связь и телевидение;Отсутствие качественной сотовой связи;5
20;Связь и телевидение;Нарушения в работе Почты России;8
21;Социальное обслуживание и защита;Оказание социальной помощи;124
22;Социальное обслуживание и защита;Качество и доступность предоставления социальных услуг;2
23;Социальное обслуживание и защита;Трудоустройство безработных;32
24;Социальное обслуживание и защита;Предоставление государственных пособий на детей;22
25;Водоснабжение;Отключение воды;19
26;Водоснабжение;Водоотведение;132
27;Водоснабжение;Некачественная вода;4
28;Ветеринария;Содержание безнадзорных животных;236
29;Ветеринария;Отлов безнадзорных животных;134
30;Многоквартирные дома;Капитальный ремонт;197
